,id,url,access_date,section_timestamp_start,section_timestamp_end,label,speaker,transcript,multimodal_annotation_01,multimodal_annotation_02,multimodal_annotation_03,full_agreement,audio_annotation_01,audio_annotation_02,video_annotation_01,video_annotation_02,text_annotation_01,text_annotation_02
16,17,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:16:25,00:16:38.3,sarc,male," Trotz Sondervermögen ist die Beschaffung bei der Bundeswehr immer noch sehr langwierig und viel zu bürokratisch. Auch da braucht es erstmal dringend Reformen. Von den Basics mal ganz zu schweigen, Freunde. Ich sage nur Munition.",sarc,sarc,non-sarc,False,non-sarc,sarc,sarc,sarc,non-sarc,non-sarc
17,18,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:23:12,00:23:24,sarc,male," Und was macht Trump? Kurz nach seinem Liberation Day veranstaltet er ein Dinner in Ma-a-Lago, wo man für seine Gesellschaft teuer bezahlen muss. Keine Ahnung, wer so blöd ist.",sarc,sarc,sarc,True,non-sarc,non-sarc,sarc,sarc,non-sarc,sarc
18,19,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:24:40,00:24:50,sarc,male," Amerikanische Journalisten haben gerade ausgerechnet, dass Trump jetzt schon ein Drittel seiner neuen Amtszeit auf dem Golfplatz verbracht hat. Wegen mir darf das gerne mehr werden, absolut.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
19,20,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:25:20,00:25:25,sarc,male," Naja, ich sag mal für Trumps Kabinett wäre so ein Sack Backsteine wahrscheinlich überqualifiziert.",sarc,sarc,sarc,True,sarc,non-sarc,sarc,sarc,sarc,sarc
20,21,https://www.youtube.com/watch?v=IGTgC3-sDpc,08.08.2025,00:01:18.5,00:01:34.5,sarc,female," Und Schuld an unserem kollektiven Gefühl ist natürlich Donald Trump und seine bescheuerten Zolle. Ich glaube, die hat er ausgewürfelt. Wahrscheinlich mit demselben Würfel, mit dem Elon Musk die Namen für seine Kinder ausgewürfelt hat.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
21,22,https://www.youtube.com/watch?v=IGTgC3-sDpc,08.08.2025,00:07:17.5,00:07:26,sarc,female," So, außerdem, Leute, sind wir auch hier im Tech-Business, sind wir ganz weit vorne, ja, weil, Leute, seit dieser Woche gibt's einen neuen Thermomix.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
22,23,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:04:33.2,00:04:47.1,sarc,female," Wenn deutsche Behörden seltener zur Verfügung stehen als die Eismaschine bei McDonalds, dann sollte man sich vielleicht langsam anfangen, Sorgen zu machen. Denn die sind ja jetzt schon überlastet. Und dann gehen noch 40% der Verwaltungsangestellten in Rente. Was passiert denn dann?",sarc,non-sarc,sarc,False,non-sarc,sarc,sarc,non-sarc,sarc,sarc
23,24,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:07:03.3,00:07:14.8,non-sarc,female," Na also, Bürokratie kann auch nützlich sein und viele der tausend Vorschriften merken wir gar nicht. Aber gäbe es sie nicht, dann wäre das schlecht für die Umwelt oder die Sicherheit und zwar für unsere.",non-sarc,non-sarc,non-sarc,True,non-sarc,sarc,non-sarc,sarc,non-sarc,sarc
24,25,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:07:14.6,00:07:22,sarc,female," Ich zeige Ihnen das mal an einem Beispiel, das in Deutschland noch mehr Raum einnimmt als die Bürokratie. Dem Auto.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
25,26,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:11:04.3,00:11:19.8,sarc,female," 27 Prozent. Das ist sogar noch optimistisch gerechnet. Denn Bund und Länder werten eine Dienstleistung schon als online verfügbar, wenn sie von nur einer Kommune angeboten wird. Mit der Logik ist RWE klimaneutral, nur weil sie in Brunsbütteln ein Windrad aufgestellt haben.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
26,27,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:11:20,00:11:32,sarc,female," Wieso ist es denn so schwierig, Verwaltungen zu digitalisieren? Eine Erklärung liefert diese anschauliche Grafik. Und? Verwirrt? Ich auch.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
27,28,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:12:21.9,00:12:30.9,sarc,female," Also, man kann natürlich auch heute schon zum Beispiel einen Antrag auf BAföG digital abschicken. Aber das heißt noch lange nicht, dass er auch digital bearbeitet wird.",sarc,sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,sarc,non-sarc
28,29,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:13:24.9,00:13:33,non-sarc,female," Ein Register ist quasi eine Datenbank. Darin werden ihre Angaben gespeichert. Das Problem ist aber, dass diese Datenbanken bisher nicht vernetzt sind.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc
29,30,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:14:33.8,00:14:46.2,sarc,female," Was hier klingt wie ein futuristisches Szenario aus dem Jahr 2314 in einem anderen Sternensystem, bedeutet einfach, man muss seine Infos nicht doppelt und dreifach angeben, weil sie sowieso schon vorliegen.",sarc,sarc,sarc,True,sarc,sarc,non-sarc,sarc,sarc,sarc
30,31,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:15:52.9,00:15:57.95,sarc,female," Ja, so läuft das in Estland. Da fällt Eltern in Deutschland ja vor Neid glatt der Leitzordner auf den Wickeltisch.",sarc,sarc,sarc,True,sarc,sarc,non-sarc,sarc,sarc,sarc
31,32,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:17:05,00:17:11,non-sarc,female," Also, gerade kleine und mittelständische Unternehmen leiden wohl besonders unter der Bürokratie.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc
32,33,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:22:53,00:23:08,non-sarc,female," Leider kann man aber diese Normen nicht einfach ignorieren, obwohl es keine Gesetze sind. Der Grund ist nämlich, Gerichte nehmen Normen immer wieder als Grundlage für Entscheidungen. Und damit werden sie verbindlich, auch wenn sie eigentlich nur Empfehlungen sind.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,sarc,sarc,non-sarc,non-sarc
33,34,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:25:30,00:25:42,non-sarc,female," Ist jetzt vielleicht auf Anhieb nicht so schnell zu erkennen, es sind 83 Prozent Wirtschaft in einem Ausschuss. Und wenn ich das richtig überblicke, sind das deutlich mehr als 50 Prozent.",non-sarc,non-sarc,sarc,False,sarc,sarc,sarc,sarc,sarc,sarc
34,35,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:26:01,00:26:07.7,sarc,female," Könnte es sein, dass in manchen Ausschüssen bestimmte interessierte Kreise so stark vertreten sind, dass sie sogar Normen diktieren?",non-sarc,sarc,sarc,False,non-sarc,sarc,non-sarc,non-sarc,non-sarc,non-sarc
35,36,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:26:41.2,00:26:50.2,sarc,female," Ausgewogene Verteilung bedeutet nicht gleichmäßige Verteilung. Aha, das sagt wohl auch der große Bruder zum Kleinen, wenn er seine Gummibärchen klaut.",sarc,non-sarc,sarc,False,sarc,sarc,sarc,sarc,sarc,sarc
36,37,https://www.youtube.com/watch?v=UFLhh51yQCc,08.08.2025,00:26:57,00:27:04.5,sarc,female, In der Regel. Was heißt denn das? Immer? Manchmal? Nur wenn die Sonne in Konjunktion mit Jupiter steht?,sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
37,38,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:00:50,00:01:16,sarc,female," Neues Jahr hat angefangen. Haben Sie schon gute Vorsätze für 2025? Sowas wie die Welt retten, zum Mars fliegen, die Menschheit zu einer multiplanetaren Spezies machen? Nee? Wieder nur mehr Sport treiben, weniger Alkohol trinken, endlich aus der FDP austreten? Tja, dann sind Sie wohl eher so ein Low-Performer und kein außergewöhnlicher Leistungsträger wie die Person, über die wir heute reden müssen. Elon Musk.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
38,39,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:02:30.8,00:02:41.05,sarc,female," Es geht heute schließlich nicht um den berühmten Raumfahrtpionier, der eine problematische Vergangenheit im Faschismus hat. Nein, es geht heute um den berühmten Raumfahrtpionier, der eine problematische Zukunft im Faschismus hat.",sarc,sarc,sarc,True,sarc,sarc,non-sarc,non-sarc,sarc,non-sarc
39,40,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:04:21.8,00:04:31.5,non-sarc,female," Na ja, also Elon Musk ist in erster Linie mal ein sehr reicher Typ. Je nach Stand der Aktienkurse seiner diversen Firmen ist er sogar der reichste Typ auf Erden.",non-sarc,non-sarc,non-sarc,True,sarc,sarc,non-sarc,sarc,non-sarc,non-sarc
40,41,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:07:16.2,00:07:22,sarc,female," Also sagen wir mal so, da wird sich der Markus noch ein wenig gedulden müssen, bevor er Gesellschaft auf dem Mars bekommt, ne?",sarc,sarc,sarc,True,sarc,sarc,non-sarc,non-sarc,sarc,sarc
41,42,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:12:27.5,00:12:37.55,sarc,female," Gut, ich geb's zu, in einem Punkt entspricht unser Comic natürlich nicht der Wahrheit. Musk hat zu dem Mann nicht, du blöder Taucher, gesagt. Er hat ihn als pädophil bezeichnet.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,non-sarc,sarc
42,43,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:12:40.2,00:12:48,sarc,female," Spätestens zu diesem Zeitpunkt hätte man ahnen können, dass wir es hier mit einem Wannabe-Superhelden zu tun haben, der gehörig einen an der Marmel hat.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
43,44,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:19:42.7,00:19:51,sarc,female, Aber vielleicht ist der kleine Elon noch mal aus dem Fenster geklettert und hat heimlich seine neofaschistische Freundin getroffen. Wir wissen es nicht.,sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,non-sarc
44,45,https://www.youtube.com/watch?v=Ka0iG4azzz8,08.08.2025,00:28:08.6,00:28:14,non-sarc,female," Wenig verwunderlich, dass Musk überhaupt kein Problem mit der deutschen extremen Rechten hat.",non-sarc,non-sarc,non-sarc,True,sarc,sarc,sarc,sarc,non-sarc,non-sarc
45,46,https://www.youtube.com/watch?v=A-TA47si6aQ,08.08.2025,00:01:34.7,00:01:49.2,non-sarc,female," Verstehe. Sie nennen sich Auskunfttheien. Klingt erstmal unspektakulär, denn Auskunfttheien sind im Prinzip eine gute Sache. Sie schützen nämlich uns davor, nicht zu viel Geld auszugeben und Unternehmen keine Geschäfte mit Leuten zu machen, die nicht zahlen können.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc
46,47,https://www.youtube.com/watch?v=A-TA47si6aQ,08.08.2025,00:02:06,00:02:17,non-sarc,female," Es gibt eine ganze Reihe von Auskunftsteilen in Deutschland, zum Beispiel Griff, Boniversum oder Infoscore. Aber die bekannteste und größte dieser privaten Auskunftsfirmen ist die Schufa.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,sarc,non-sarc,non-sarc,non-sarc
47,48,https://www.youtube.com/watch?v=A-TA47si6aQ,08.08.2025,00:02:37.4,00:02:49.4,non-sarc,female," Die Schufa kennt man vielleicht als dieses Schreckensgespenst, bei dem man Einträge bekommt, wenn man zum Beispiel vergessen hat, seine Rechnung rechtzeitig zu bezahlen. Also so richtig beliebt hat sich die Schufa in der Vergangenheit nicht gemacht.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,sarc,sarc,sarc,non-sarc
48,49,https://www.youtube.com/watch?v=A-TA47si6aQ,08.08.2025,00:09:17.4,00:09:27.6,sarc,female," Genau, das haben Kreditgeber in der Regel nicht, denn das sind zum Beispiel Banker, kommt im weitesten Sinne auch aus dem Lateinischen und hat was mit zurückgegelten Haaren und protzigen Glastürmen zu tun.",sarc,sarc,sarc,True,sarc,sarc,non-sarc,sarc,sarc,sarc
49,50,https://www.youtube.com/watch?v=A-TA47si6aQ,08.08.2025,00:26:24.4,00:26:32.9,non-sarc,female," Bevor das Gesetz endgültig beschlossen wird, dürfen jetzt erstmal alle Fraktionen im Bundestag draufschauen und Änderungsvorschläge einbringen.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc
50,51,https://www.youtube.com/watch?v=OH0_zrXN-4Q,08.08.2025,00:02:32.7,00:02:42,sarc,male," Im Übrigen, wissen Sie, gilt die alte Regel, wenn die FDP eine politische Entscheidung richtig scheiße findet, war sie sehr wahrscheinlich gut.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,non-sarc
51,52,https://www.youtube.com/watch?v=OH0_zrXN-4Q,08.08.2025,00:06:08,00:06:23,sarc,male," Denn kaputte Brücken und Straßen sind nun mal Deutschlands größter Standortnachteil. Für eine funktionierende Bahn und mehr Sicherheit wären aber auch Zumutungen für uns Bürger in dieser Lage okay, wenn sie mal gerecht verteilt würden.",sarc,sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,non-sarc,sarc
52,53,https://www.youtube.com/watch?v=OH0_zrXN-4Q,08.08.2025,00:09:37.8,00:09:46,non-sarc,male, Ohne die Amis haben wir fast keine Luftaufklärung und auch keine flächendeckende Luftabwehr. Die Bundeswehr hat nicht mal genug Munition.,sarc,non-sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,non-sarc,sarc
53,54,https://www.youtube.com/watch?v=OH0_zrXN-4Q,08.08.2025,00:19:51,00:20:02,non-sarc,male," Bei den Vereinten Nationen haben die USA gerade gegen eine Resolution gestimmt, die Russland als Aggressor nennt. Und zwar zusammen mit Putin, Belarus und Nordkorea.",sarc,non-sarc,non-sarc,False,sarc,non-sarc,sarc,sarc,sarc,non-sarc
54,55,https://www.youtube.com/watch?v=OH0_zrXN-4Q,08.08.2025,00:31:28.9,00:31:36.3,sarc,male," Fazit, zum Ende des Karnevals zeigt Markus Söder uns nochmal sein schönstes Kostüm, den loyalen Merz-Unterstützer.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
55,56,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:02:37.3,00:02:48.6,sarc,male," Übrigens schon seit Monaten geplant, aber ich denke mal Nummer 17 hier wird Putin endgültig in die Knie zwingen oder wie waren die ersten Reaktionen im russischen Staatsfernsehen?",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,non-sarc,sarc
56,57,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:02:57.7,00:03:06.4,sarc,male," What? Drogenabhängige Homosexuelle? Jetzt hört doch mal auf, auf dem ESC rumzuhacken! Das gibt's doch gar nicht!",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
57,58,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:03:10,00:03:22,sarc,male," Ja, kein Wunder, dass die uns nicht ernst nehmen. Europa kauft bei Putin immer noch, jeden Monat, für 1,8 Milliarden russisches Öl und Flüssiggas. Jeden Monat.",sarc,sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,non-sarc,non-sarc
58,59,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:04:12.7,00:04:20,sarc,male," So, das hast du von Putin. Jetzt ist der Friedrich enttäuscht. Du hast ihn traurig gemacht.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
59,60,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:05:28,00:05:34.2,sarc,male," Das ist das, was ich meine. In Ihrem aktuellen Zustand taugt unsere Truppe eher für so eine RTL2-Doku.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
60,61,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:06:45,00:06:50,sarc,male," Alter, das wäre doch der perfekte Slogan für die Deutsche Bahn. Pünktlichkeit oder so ein Quatsch.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
61,62,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:06:52.4,00:06:59.3,non-sarc,male," Sicher, auch die Bundeswehr muss sich als moderner Arbeitgeber um die wenigen Nachwuchskräfte bemühen.",sarc,non-sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,non-sarc,non-sarc
62,63,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:12:55.9,00:13:15,sarc,female," Hallo? Waffen verteidigen unsere Demokratie? So gesehen ist in Rüstung investieren sogar extrem nachhaltig. Nachhaltige Rüstungsaktien mit gutem Gewissen schweinereich werden. Gut, es sei denn, es kommt doch noch überraschend zu einem Frieden. Aber jetzt malen wir den Teufel mal nicht an die Wand.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
63,64,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:13:16.86,00:13:23,non-sarc,male," Deutsche Waffen werden aber nicht nur zur Verteidigung Europas verkauft, sondern auch in Länder wie Saudi-Arabien.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,sarc,non-sarc,non-sarc,non-sarc
64,65,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:14:01,00:14:09.6,non-sarc,male," So, meine Damen und Herren, jetzt hat der Merz also beim Thema Russland-Sanktionen schon wieder was angekündigt, was dann gar nicht gekommen ist.",non-sarc,non-sarc,non-sarc,True,sarc,sarc,non-sarc,non-sarc,sarc,non-sarc
65,66,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:18:40.6,00:18:51,sarc,male," Lars Klingenbeil, der übrigens 2021 mal das sozialdemokratische Jahrzehnt ausgerufen hat, das ging ja ziemlich schnell rum, muss ich sagen.",sarc,non-sarc,sarc,False,sarc,sarc,sarc,sarc,sarc,sarc
66,67,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:20:31.8,00:20:36,sarc,male," Das Filmchen fetzt doch, würde meine Generation sagen.",non-sarc,sarc,sarc,False,sarc,non-sarc,sarc,sarc,sarc,sarc
67,68,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:21:49.7,00:21:55.6,sarc,male," Ich kann nur für mich sprechen, aber Freizeit ist eine Unterbrechung meiner Arbeit.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,non-sarc,non-sarc
68,69,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:21:56,00:22:06,non-sarc,male," Was ich damit sagen will, vielleicht sollte man mal unterscheiden zwischen selbstbestimmter schöpferischer Arbeit und knochenharten Jobs im Niedriglohn.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,sarc,sarc,non-sarc,non-sarc
69,70,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:22:29,00:22:42.75,non-sarc,male," Fakt ist, wir haben hier im internationalen Vergleich besonders viel Teilzeit. Das betrifft 11% der Männer und rund die Hälfte der Frauen. Weil die oft zu Hause Angehörige pflegen oder Kinder betreuen, mangels Kita-Plätzen.",non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,non-sarc,sarc,non-sarc,non-sarc
70,71,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:29:53,00:30:15,sarc,male," Oh, Nina Warken, das ist unsere neue Gesundheitsministerin, die musste gerade 800 Millionen Euro Bundesmittel vorzeitig an gesetzliche Kassen auszahlen, weil sonst die ein oder andere kollabieren könnte. Ja, wahrscheinlich schwant der armen Frau inzwischen, dass sie sich mit diesem Ministerium sowas wie die Mutter aller Arschkarten eingefangen hat.",sarc,sarc,sarc,True,sarc,non-sarc,sarc,non-sarc,sarc,sarc
71,72,https://www.youtube.com/watch?v=WSJzANe-X68,08.08.2025,00:30:54,00:30:59,sarc,male, Ich habe mir Ihre digitale Gesundheitsakte schon im Darknet besorgen können.,sarc,sarc,sarc,True,sarc,sarc,sarc,non-sarc,sarc,sarc
72,73,https://www.youtube.com/watch?v=liQDgVaIzso,08.08.2025,00:02:03,00:02:09.6,non-sarc,female, Seit der letzten Inventur sind nämlich allein 400.000 Fichten abgestorben. Eine Fläche größer als das Saarland.,non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc,non-sarc
73,74,https://www.youtube.com/watch?v=liQDgVaIzso,08.08.2025,00:02:39,00:02:44,sarc,female, Dem Wald geht's also schlecht 2025. Wer hat das kommen sehen?,sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
74,75,https://www.youtube.com/watch?v=liQDgVaIzso,08.08.2025,00:05:38,00:05:51,sarc,female," Gut, man kann von den Forstbetrieben auch nicht verlangen, die Bäume mit einer Nagelfeile abzuraspeln. Und um das mal vorweg zu sagen, es gibt da draußen wirklich viele Förster und Waldbesitzer, die alles dafür tun, dass es dem Wald nicht schlecht geht.",sarc,sarc,non-sarc,False,sarc,non-sarc,non-sarc,non-sarc,sarc,non-sarc
